chr1	10001	248946423
chr2	10001	242183530
chr3	10001	198285560
chr4	10001	190204556
chr5	10001	181528260
chr6	10001	170795980
chr7	10001	159335974
chr8	10001	145128637
chr9	10001	138384718
chr10	10001	133787423
chr11	10001	135076623
chr12	10001	133265310
chr13	10001	114354329
chr14	10001	107033719
chr15	10001	101981190
chr16	10001	90328346
chr17	10001	83247442
chr18	10001	80363286
chr19	10001	58607617
chr20	10001	64434168
chr21	10001	46699983
chr22	10001	50808469
chrX	10001	156030896
chrY	10001	57217416
